X,Y,ISO,NAME
35.795031019583028,32.302751776614315,JOR,Ajlun
36.384140213282812,31.590441955554439,JOR,Amman
35.348138109532911,29.834484359267737,JOR,Aqaba
35.693112943897802,32.000117163366717,JOR,Balqa
35.818271794493548,32.515824748984144,JOR,Irbid
35.939054837767301,32.241343955303996,JOR,Jarash
35.804059805998506,31.179877552064632,JOR,Karak
36.563419654274547,30.346988189125046,JOR,Ma`an
35.701810092947625,31.602977534508831,JOR,Madaba
37.945719355199572,32.371511389740824,JOR,Mafraq
35.69380571399558,30.810217655996006,JOR,Tafilah
36.85038491164098,31.816121856203299,JOR,Zarqa
35.3087715254267,32.183751615039888,PSE,Nablus
35.067234253298004,32.191359139321932,PSE,Qalqilya
35.195676131028428,31.953443580153309,PSE,Ramallah and Al-Bireh
35.12503290560479,32.10772994472218,PSE,Salfit
35.472388182287425,32.309584301919315,PSE,Tubas
35.089571007743288,32.316030261955767,PSE,Tulkarm
34.367698618557718,31.419457397345106,PSE,Deir Al-Balah
34.502468852739412,31.544126424682183,PSE,Gaza ash Shamaliyah
34.441318522411784,31.488963709122576,PSE,Gaza
34.314989433905872,31.335711282287576,PSE,Khan Yunis
34.275285171311687,31.278484020369543,PSE,Rafah
35.336496629262442,31.628150475364087,PSE,Bethlehem
35.102576181751715,31.490145354863671,PSE,Hebron
35.266895179545088,32.426895413152288,PSE,Jenin
35.478142631151215,31.973384487861022,PSE,Jericho
35.291873188213422,31.800398403630687,PSE,Jerusalem
